first,last,state,district,party,healthcare,college_tuition,minimum_wage,wall_street,womens_rights,voting_rights,justice,climate,score
Adriano,Espaillat,NY,13,D,True,True,True,,,True,,,
Joseph,Crowley,NY,14,D,True,,True,,,True,True,,
José,Serrano,NY,15,D,True,,True,,True,True,True,,
Eliot,Engel,NY,16,D,True,,True,,True,True,,,
Nita,Lowey,NY,17,D,True,,True,,True,,,,
Sean,Maloney,NY,18,D,,,True,,True,True,,,
Paul,Tonko,NY,20,D,True,,True,,True,True,,,
Louise,Slaughter,NY,25,D,True,,True,True,True,True,,,
Brian,Higgins,NY,26,D,True,,True,,,True,,,
Joyce,Beatty,OH,3,D,True,,True,,True,True,,,
Marcy,Kaptur,OH,9,D,True,,True,,,True,,,
Marcia,Fudge,OH,11,D,True,,True,,True,True,,,
Tim,Ryan,OH,13,D,True,,True,,True,True,,,
Suzanne,Bonamici,OR,1,D,True,,True,,True,True,,,
Earl,Blumenauer,OR,3,D,True,True,True,True,True,True,True,True,
Peter,DeFazio,OR,4,D,True,,True,,,True,,,
Kurt,Schrader,OR,5,D,,,,,,,,,
Robert,Brady,PA,1,D,True,,True,,True,,,,
Dwight,Evans,PA,2,D,True,,True,,True,True,True,,
Brendan,Boyle,PA,13,D,True,,True,,,True,,,
Michael,Doyle,PA,14,D,True,,True,,,,,,
Matt,Cartwright,PA,17,D,True,,True,,,True,,True,
David,Cicilline,RI,1,D,True,True,True,,True,,,,
James,Langevin,RI,2,D,True,True,True,,,True,,,
James,Clyburn,SC,6,D,True,,True,,,,,,
Jim,Cooper,TN,5,D,True,,,,,True,,,
Steve,Cohen,TN,9,D,True,,True,,True,True,,,
Al,Green,TX,9,D,True,,True,,,,,,
Vicente,Gonzalez,TX,15,D,True,,,,,,,,
Beto,O'Rourke,TX,16,D,,,,,True,True,,,
Sheila,Jackson Lee,TX,18,D,True,True,True,,,True,,,
Joaquin,Castro,TX,20,D,,,True,,,True,,,
Henry,Cuellar,TX,28,D,,,,,,,,,
Gene,Green,TX,29,D,True,,True,,,True,,,
Eddie,Johnson,TX,30,D,,,True,True,True,True,,,
Marc,Veasey,TX,33,D,True,,True,,True,,,,
Filemon,Vela,TX,34,D,True,,,,,,,,
Lloyd,Doggett,TX,35,D,,,True,,True,True,,,
Robert,Scott,VA,3,D,True,True,,,True,True,,,
