first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Betty,McCollum,MN,04,D,,,5/25/2017,,1/31/2017,6/15/2017,,
Frank,"Pallone, Jr.",NJ,06,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Donald,"Beyer, Jr.",VA,08,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Pete,Aguilar,CA,31,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Susan,Davis,CA,53,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Elizabeth,Esty,CT,05,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Lois,Frankel,FL,21,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Theodore,Deutch,FL,22,D,5/16/2017,,,,1/31/2017,6/8/2017,,
Debbie,Wasserman Schultz,FL,23,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Sander,Levin,MI,09,D,,,5/25/2017,,2/6/2017,6/15/2017,,
Sean,Patrick Maloney,NY,18,D,,,5/25/2017,,1/31/2017,6/8/2017,,
Derek,Kilmer,WA,06,D,,,5/25/2017,,2/24/2017,6/8/2017,,
Denny,Heck,WA,10,D,,,5/25/2017,,1/31/2017,6/21/2017,,
Adam,Schiff,CA,28,D,6/22/2017,,5/25/2017,,1/31/2017,,,
Nita,Lowey,NY,17,D,7/12/2017,,5/25/2017,,1/31/2017,,,
Bill,Foster,IL,11,D,,,6/21/2017,,1/31/2017,6/8/2017,,
Niki,Tsongas,MA,03,D,,,7/19/2017,,1/31/2017,6/8/2017,,
Maxine,Waters,CA,43,D,4/28/2017,,5/25/2017,,,,,
José,Carson,IN,07,D,4/3/2017,,5/25/2017,,,,,
Debbie,Dingell,MI,12,D,4/6/2017,,5/25/2017,,,,,
Bennie,Thompson,MS,02,D,1/24/2017,,5/25/2017,,,,,
Albio,Sires,NJ,08,D,5/16/2017,,5/25/2017,,,,,
James,Clyburn,SC,06,D,1/24/2017,,5/25/2017,,,,,
Al,Green,TX,09,D,1/24/2017,,5/25/2017,,,,,
Peter,Visclosky,IN,01,D,4/28/2017,,5/25/2017,,,,,
Michael,Doyle,PA,14,D,1/24/2017,,5/25/2017,,,,,
Terri,Sewell,AL,07,D,,,5/25/2017,,,6/8/2017,,
Kathy,Castor,FL,14,D,4/3/2017,,,,1/31/2017,,,
Donald,Norcross,NJ,01,D,,,5/25/2017,,1/31/2017,,,
