first,last,state,district,party,healthcare,college_tuition,minimum_wage,workers_rights,womens_rights,voting_rights,justice,climate
Nita,Lowey,NY,17,D,TRUE,,TRUE,,TRUE,,,
Kathy,Castor,FL,14,D,TRUE,,,,TRUE,,,
Donald,Norcross,NJ,01,D,,,TRUE,,TRUE,,,
Tony,CÃ¡rdenas,CA,29,D,,,TRUE,,TRUE,,,
Norma,Torres,CA,35,D,,,TRUE,,TRUE,,,
Scott,Peters,CA,52,D,,,TRUE,,TRUE,,,
Seth,Moulton,MA,06,D,,,TRUE,,TRUE,,,
Kathleen,Rice,NY,04,D,,,TRUE,,TRUE,,,
Joseph,Kennedy III,MA,04,D,,,TRUE,,TRUE,,,
Cedric,Richmond,LA,02,D,,,,,TRUE,,,
Ami,Bera,CA,07,D,,,,,TRUE,,,
Bradley,Scott Schneider,IL,10,D,,,,,TRUE,,,
William,Keating,MA,09,D,,,,,TRUE,,,
Lloyd,Doggett,TX,35,D,,,,,TRUE,,,
Robert,Brady,PA,01,D,TRUE,,TRUE,,TRUE,,,
Charlie,Crist,FL,13,D,,,TRUE,,TRUE,,,
Jamie,Raskin,MD,08,D,TRUE,TRUE,TRUE,TRUE,TRUE,,,
Nanette,Barragán,CA,44,D,TRUE,,TRUE,,TRUE,,,
Rick,Larsen,WA,02,D,,,TRUE,,TRUE,,,
David,Scott,GA,13,D,,,,,TRUE,,,
Salud,Carbajal,CA,24,D,,,TRUE,,TRUE,,,
Lisa,Blunt Rochester,DE,At Large,D,,,TRUE,,TRUE,,,
Jacky,Rosen,NV,03,D,,,,,TRUE,,,
Lucille,Roybal-Allard,CA,40,D,TRUE,,TRUE,TRUE,,,,
Adriano,Espaillat,NY,13,D,TRUE,TRUE,TRUE,,,,,
Maxine,Waters,CA,43,D,TRUE,,TRUE,,,,,
José,Carson,IN,07,D,TRUE,,TRUE,,,,,
Debbie,Dingell,MI,12,D,TRUE,,TRUE,,,,,
Bennie,Thompson,MS,02,D,TRUE,,TRUE,,,,,
Albio,Sires,NJ,08,D,TRUE,,TRUE,,,,,
James,Clyburn,SC,06,D,TRUE,,TRUE,,,,,
Al,Green,TX,09,D,TRUE,,TRUE,,,,,
